1,Soy Protein,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",10.1,41
2,Sage Ground Wiberg,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,40.01,547
3,Container - Hngd Cll Blk 7x7x3,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",24.3,347
4,Lobster - Cooked,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,28.9,371
5,Sugar - Splenda Sweetener,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",44.05,931
6,"Pasta - Elbows, Macaroni, Dry",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,8.58,573
7,"Pasta - Lasagna Noodle, Frozen",Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,39.47,516
8,Flour - Whole Wheat,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",13.41,829
9,Beef - Tender Tips,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",22.28,185
10,Beef - Cow Feet Split,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",35.97,540
11,Ostrich - Fan Fillet,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,21.59,920
12,Chinese Foods - Pepper Beef,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,42.68,382
13,Beets - Golden,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,3.04,997
14,Skirt - 24 Foot,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",48.69,6
15,"Nut - Almond, Blanched, Whole",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,21.17,109
16,Tea - English Breakfast,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",13.64,773
17,Creme De Menth - White,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",31.32,950
18,Ecolab - Hobart Washarm End Cap,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,23.13,847
19,Lettuce - Boston Bib,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",33.08,10
20,"Beef - Tongue, Fresh",Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,7.18,121
21,Pepper - Red Bell,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1.9,534
22,Table Cloth 90x90 Colour,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,40.79,568
23,Wine - Carmenere Casillero Del,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",49.43,281
24,Potatoes - Pei 10 Oz,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",39.36,728
